sttl,ct_dst_sport_ltm,ct_src_dport_ltm,swin,dwin,label
254,2,2,0,0,1
254,2,2,0,0,1
254,2,2,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
62,1,2,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,0,0,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
62,1,1,255,255,1
254,1,2,255,255,1
254,2,2,0,0,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
254,2,2,255,255,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,2,2,0,0,1
254,2,2,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,0,0,1
254,2,2,0,0,1
254,1,1,0,0,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,2,2,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,2,255,255,1
62,1,2,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
62,2,2,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,10,0,0,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,2,2,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
62,1,2,255,255,1
62,1,2,255,255,1
254,1,1,255,255,1
254,1,2,255,255,1
254,2,2,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,2,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,2,255,255,1
254,1,1,255,255,1
254,1,2,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,4,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,2,0,0,1
254,1,2,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,3,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
62,1,1,255,255,1
254,2,9,0,0,1
254,1,1,0,0,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,2,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,2,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,2,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
62,1,2,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
254,1,1,255,255,1
254,3,4,0,0,1
254,1,1,0,0,1
254,3,4,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,3,4,0,0,1
254,1,1,0,0,1
254,3,4,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
254,3,4,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
254,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,0,0,1
254,1,1,0,0,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
254,1,1,255,255,1
254,1,1,0,0,1
62,1,1,255,255,1
62,1,1,255,255,1
254,1,1,0,0,1
254,10,10,0,0,1
62,1,1,255,255,1
254,1,1,0,0,1
254,10,10,0,0,1
254,1,1,255,255,1
254,1,3,255,255,1
254,10,10,0,0,1
254,1,1,255,255,1
254,1,2,255,255,1
254,10,10,0,0,1
254,1,1,255,255,1
254,1,3,255,255,1
254,1,1,255,255,1
